0, 0, 1226
1, 1228, 680
2, 1911, 615
3, 2528, 613
4, 3143, 596
5, 3741, 582
6, 4326, 604
7, 4932, 602
8, 5537, 585
9, 6124, 597
10, 6724, 630
11, 7356, 594
12, 7952, 593
13, 8547, 602
14, 9152, 570
15, 9724, 586
16, 10313, 580
17, 10895, 607
18, 11504, 609
19, 12115, 610
20, 12727, 584
21, 13314, 578
22, 13895, 578
23, 14475, 607
24, 15084, 597
25, 15683, 605
26, 16291, 618
27, 16911, 593
28, 17506, 582
29, 18091, 604
30, 18697, 583
31, 19282, 605
32, 19890, 611
33, 20503, 595
34, 21100, 620
35, 21722, 622
36, 22347, 605
37, 22954, 608
38, 23565, 581
39, 24148, 593
40, 24744, 588
41, 25334, 610
42, 25946, 595
43, 26544, 608
44, 27154, 584
45, 27739, 601
46, 28342, 583
47, 28928, 588
48, 29519, 608
49, 30129, 599
50, 30730, 558
51, 31289, 629
52, 31921, 591
53, 32515, 614
54, 33131, 584
55, 33717, 599
56, 34318, 590
57, 34911, 597
58, 35510, 590
59, 36102, 576
60, 36680, 604
61, 37286, 633
62, 37922, 590
63, 38515, 611
64, 39127, 580
65, 39710, 610
66, 40322, 607
67, 40931, 600
68, 41533, 607
69, 42142, 600
70, 42744, 598
71, 43344, 601
72, 43947, 582
73, 44532, 584
74, 45118, 576
75, 45697, 607
76, 46306, 637
77, 46945, 605
78, 47553, 600
79, 48155, 619
80, 48777, 614
81, 49393, 599
82, 49995, 597
83, 50594, 623
84, 51219, 603
85, 51825, 636
86, 52463, 609
87, 53075, 602
88, 53679, 585
89, 54266, 611
90, 54880, 589
91, 55471, 596
92, 56069, 630
93, 56702, 603
94, 57307, 602
95, 57911, 600
96, 58514, 592
97, 59107, 685
98, 59794, 623
99, 60420, 812
100, 61234, 648
101, 61884, 580
102, 62466, 940
103, 63408, 630
104, 64041, 602
105, 64645, 570
106, 65218, 586
107, 65806, 583
108, 66392, 585
109, 66979, 594
110, 67576, 572
111, 68150, 585
112, 68738, 581
113, 69321, 595
114, 69918, 582
115, 70503, 600
116, 71106, 598
117, 71706, 594
118, 72302, 576
119, 72880, 590
120, 73473, 601
121, 74076, 573
122, 74651, 588
123, 75241, 585
124, 75829, 581
125, 76412, 602
126, 77017, 579
127, 77599, 619
128, 78220, 614
129, 78845, 608
130, 79456, 584
131, 80042, 587
132, 80631, 578
133, 81211, 593
134, 81806, 589
135, 82397, 580
136, 82980, 601
137, 83583, 590
138, 84175, 572
139, 84749, 569
140, 85320, 583
141, 85905, 599
142, 86506, 597
143, 87106, 588
144, 87697, 571
145, 88270, 626
146, 88898, 612
147, 89512, 606
148, 90120, 577
149, 90700, 598
150, 91301, 607
151, 91909, 600
152, 92511, 571
153, 93085, 592
154, 93679, 578
155, 94259, 592
156, 94854, 586
157, 95442, 592
158, 96037, 575
159, 96614, 609
160, 97225, 584
161, 97812, 578
162, 98392, 629
163, 99024, 584
164, 99610, 630
165, 100242, 586
166, 100831, 583
167, 101415, 614
168, 102031, 592
169, 102626, 606
170, 103234, 582
171, 103818, 588
172, 104408, 605
173, 105016, 606
174, 105624, 582
175, 106208, 566
176, 106777, 599
177, 107378, 585
178, 107964, 584
179, 108550, 604
180, 109156, 598
181, 109757, 599
182, 110358, 584
183, 110945, 583
184, 111530, 598
185, 112130, 604
186, 112737, 587
187, 113327, 607
188, 113936, 595
189, 114533, 610
190, 115146, 602
191, 115750, 607
192, 116359, 639
193, 117001, 597
194, 117600, 596
195, 118199, 585
196, 118786, 617
197, 119405, 602
198, 120009, 598
199, 120610, 600
200, 121212, 583
201, 121797, 606
202, 122405, 610
203, 123017, 597
204, 123617, 592
205, 124211, 589
206, 124802, 615
207, 125419, 588
208, 126009, 636
209, 126647, 620
